(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Custom/SlapTexture (121 verts): 
		Plane (121 verts)	-1	True	False	False	1	[Ground (UnityEngine.Material)] 	
	Mobile/Bumped Diffuse (14368 verts): 
		MeshBaker-mesh-mesh (14368 verts)	-1	False	False	False	1	[Tracks-mat (UnityEngine.Material)] 	
	Mobile/Bumped Diffuse (393021 verts): 
		Basic_Fence_1A2 (2) (96 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (5) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (12) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (13) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grass_Mesh_1A (4) (378 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		brick (3) (24 verts)	-1	True	False	False	1	[Fence_01 (UnityEngine.Material)] 	
		Rock_Path_1B4 (1) (5580 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (9) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Palm_Tree_1A2 (2) (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Rock_Path_1B4 (5) (5580 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (4) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Rock_Path_1B4 (5580 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Rock_1C3 (89 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Palm_Tree_1A2 (1) (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Pine_Tree_1B (4) (304 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Rock_Path_1B4 (4) (5580 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (8) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Tree_Bare_1A (1747 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Palm_Tree_1A2 (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (19) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (6) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Tree_Bare_1A3 (2472 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Tree_Full_1A2 (3548 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grass_Mesh_1A (1) (378 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (5) (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mine_tracks1 (1) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (3) (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mine_tracks1 (18) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grasslands_Plant_1A2 (2) (260 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Palm_Tree_1A (1881 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Palm_Tree_1A3 (1937 verts)	-1	True	False	False	1	[Colorful_Map_Desert_1A (UnityEngine.Material)] 	
		Mine_tracks1 (20) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (2) (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Pine_Tree_1B (5) (304 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grasslands_Platform_1B3 (190 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Grass_Mesh_2A4 (5732 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks2 (288 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		brick (24 verts)	-1	True	False	False	1	[Fence_01 (UnityEngine.Material)] 	
		Grass_Mesh_2A5 (22882 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mountain_Mesh_1A (1) (979 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mountain_Mesh_1A (979 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mine_tracks1 (15) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Tree_Full_1B2 (1993 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grass_Mesh_2A3 (5692 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (17) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Rock_Arch_1A (352 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (13) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		brick (1) (24 verts)	-1	True	False	False	1	[Fence_01 (UnityEngine.Material)] 	
		Basic_Fence_1A2 (96 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grass_Mesh_2A2 (4196 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Grass_Mesh_2A (1433 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (11) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (14) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Palm_Tree_1A2 (4) (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		brick (4) (24 verts)	-1	True	False	False	1	[Fence_01 (UnityEngine.Material)] 	
		Mine_tracks1 (8) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grasslands_Plant_1A2 (260 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Mine_tracks1 (21) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (10) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Rock_Path_1B4 (3) (5580 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Basic_Fence_1A2 (3) (96 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (1) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Palm_Tree_1A2 (3) (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Tree_Full_1B (1543 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Palm_Tree_1A2 (1) (1937 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
		Mine_tracks1 (6) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Mine_tracks1 (3) (352 verts)	-1	True	False	False	1	[Mine1 (UnityEngine.Material)] 	
		Grass_Mesh_1A (2) (378 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A_Winter (UnityEngine.Material)] 	
		Tree_Full_1A2_Large (3548 verts)	-1	True	False	False	1	[Colorful_Map_Nature_1A (UnityEngine.Material)] 	
